country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kuwait,5.45M,5.32M,5.2M,5.09M,4.98M,4.87M,4.81M,5.24M,4.98M,4.57M,3.65M,4.24M,4.1M,4.4M,4.91M,4.19M,5.72M,6.59M,7.24M,7.62M,7.52M,7.75M,7.66M,7.52M,7.58M,3.27M,3.49M,4.92M,5.09M,6.86M,7.08M,6.91M,7.51M,10.5M,11.7M,11.8M,12.2M,13.2M,15.6M,17.8M,19.5M,17.7M,17.9M,19M,20.4M,21.1M,19.5M,21.8M,22.7M,19.4M,20.3M,21.1M,18.6M,18.3M,17.9M
Sri Lanka,456k,467k,478k,490k,501k,1M,909k,998k,1.04M,825k,798k,791k,839k,976k,1.01M,1.01M,1.19M,1.34M,1.47M,1.23M,1.14M,1.14M,1.3M,1.26M,1.2M,1.27M,1.35M,1.59M,1.54M,1.71M,1.85M,2.26M,2.45M,2.62M,2.86M,3.4M,3.34M,3.51M,3.48M,3.47M,3.94M,4.11M,4.37M,3.97M,4.19M,4.16M,4.45M,4.6M,3.86M,3.36M,4.14M,4.87M,5.22M,5.2M,5.61M
Lithuania,,,,,,,,,,,,,,,,,,,,,8.68M,7.26M,7.97M,7.66M,7.86M,7.51M,8.26M,4.34M,3.79M,3.52M,3.17M,3.3M,3.26M,3.76M,3.08M,2.37M,2.74M,2.53M,2.42M,2.6M,2.77M,2.78M,2.72M,2.98M,2.57M,2.64M,2.55M,2.61M,2.54M,2.48M,2.71M,2.95M,3.07M,3.24M,3.23M
Luxembourg,831k,947k,1.05M,1.16M,1.28M,1.35M,1.41M,1.48M,1.64M,1.48M,1.31M,1.42M,1.4M,1.4M,1.29M,1.07M,1.03M,1.02M,970k,971k,1.03M,1.13M,1.28M,1.31M,1.45M,1.58M,1.84M,1.89M,1.89M,1.88M,1.76M,1.83M,1.91M,1.98M,2.12M,2.28M,2.42M,2.46M,2.65M,3M,3.08M,2.93M,2.85M,2.88M,2.69M,2.82M,2.88M,2.78M,2.74M,2.64M,2.59M,2.59M,2.71M,2.87M,2.92M
Latvia,,,,,,,,,,,,,,,,,,,,,5.74M,4.83M,3.93M,3.52M,3.52M,3.32M,3.22M,2.45M,2.19M,2.08M,1.87M,1.97M,1.75M,1.67M,1.55M,1.27M,1.47M,1.46M,1.47M,1.58M,1.67M,1.57M,1.7M,1.68M,1.53M,1.72M,1.58M,1.58M,1.59M,1.6M,1.68M,1.73M,1.77M,1.64M,1.8M
Morocco,955k,1.39M,1.52M,1.67M,1.81M,1.89M,2M,2.12M,2.54M,2.73M,2.82M,3.08M,3.48M,3.74M,4.24M,4.3M,4.23M,4.45M,4.5M,4.68M,4.66M,4.57M,4.56M,4.87M,5.36M,5.54M,5.53M,6.54M,6.64M,7.22M,6.82M,6.41M,6.82M,6.75M,7.45M,6.95M,6.94M,7.23M,7.22M,8.61M,9.37M,9.49M,9.9M,10.9M,11M,12.3M,13.1M,13.2M,13.4M,12.7M,12.3M,12.6M,13.3M,13M,13.3M
Mexico,14.8M,15.5M,16.6M,18.1M,19.1M,20.5M,21.8M,24.5M,26.2M,29.7M,32.8M,36.2M,37.4M,42M,45M,50.2M,54.8M,56.6M,55.2M,58.5M,60.9M,61.5M,64.6M,64.4M,68.9M,72M,74.8M,75.6M,75.4M,81.5M,75.8M,77.6M,80.3M,84.5M,83.7M,87.7M,86.2M,82.3M,84.7M,88.2M,90.5M,89.3M,92.7M,92.5M,89.3M,89.4M,91M,92.9M,90.3M,85.9M,84.9M,85.3M,81.8M,79.2M,74.9M
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,1.08M,962k,1.04M,1.12M,866k,810k,1.23M,1.03M,934k,934k,962k,795k,896k,865k,883k,912k,960k,1.04M,938k,969k,935k,973k,942k,917k,911k,973k,1.08M,1.02M,977k,1.06M
Malaysia,2.28M,2.66M,2.71M,2.75M,2.84M,3.13M,3.43M,3.81M,4.12M,4.11M,4.33M,4.84M,5.51M,5.94M,7.21M,8.15M,8.69M,9.07M,9.71M,9.54M,9.51M,9.1M,9.34M,10.1M,10.5M,12.6M,13.6M,14.9M,16.4M,18M,18.9M,20.6M,23.9M,20.3M,22.3M,22.4M,23.3M,26M,27.6M,28M,28M,28.9M,30.8M,29.4M,29.2M,29.2M,31.5M,32.8M,34.9M,35M,32.2M,36.2M,34.1M,34.7M,35.3M
Netherlands,25.3M,27.4M,28M,30.1M,32.9M,36.5M,36M,40.1M,41.3M,35.4M,34.8M,39.2M,37.6M,38.4M,41.5M,38.8M,36.2M,31.5M,29.7M,29.4M,29.6M,32.8M,33M,35.1M,34.6M,35.9M,34.6M,36.2M,35.8M,35.5M,37.4M,37.5M,39M,39.4M,40.2M,40.8M,42.8M,42.9M,42.9M,44.8M,47.7M,47.6M,48.7M,46.3M,44.2M,44.9M,45.7M,43.3M,41M,39.1M,38.3M,39.6M,38M,38.9M,38.3M
