,country,f_0-14,f_0-4,f_15-24,f_15plus,f_18plus,f_25-34,f_35-44,f_45-54,f_5-14,f_55-64,f_65plus,f_all,m_0-14,m_0-4,m_15-24,m_15plus,m_18plus,m_25-34,m_35-44,m_45-54,m_5-14,m_55-64,m_65plus,m_all
82,HT,1100,440,2000,8440,350,2200,1400,880,630,640,550,8700,1100,530,2000,11910,420,2700,1800,1200,620,830,740,10000
83,HU,2,0,15,214,5,24,24,26,2,26,53,170,3,0,12,407,9,28,32,70,3,61,64,270
84,ID,47000,24000,69000,307500,12000,59000,54000,55000,24000,43000,23000,349000,52000,28000,63000,545000,15000,75000,76000,84000,23000,75000,50000,475000
85,IE,5,3,5,114,2,31,20,15,1,10,15,100,1,0,16,214,5,46,25,21,1,18,35,160
86,IL,2,1,5,74,1,20,12,10,1,3,16,68,2,1,5,140,3,37,23,12,1,10,25,110
87,IN,148000,61000,287000,885500,38000,213000,127000,102000,86000,82000,57000,1010000,158000,74000,267000,1848000,67000,266000,247000,251000,84000,219000,164000,1570000
88,IQ,590,260,870,4273,380,720,720,640,330,560,730,4800,630,320,890,6322,450,970,1000,920,320,620,830,5900
89,IR,290,130,420,4446,280,610,750,650,160,720,1200,4700,310,160,540,6400,310,890,1100,930,150,880,1300,5900
90,IS,0,0,0,4,0,3,0,0,0,1,0,4,0,0,1,5,0,1,2,1,0,0,1,5
91,IT,150,66,340,2482,52,420,410,280,86,280,510,2400,66,34,250,1757,51,300,290,270,32,160,260,1600
92,JM,5,1,5,17,1,5,3,1,3,2,1,22,3,1,6,53,1,5,15,7,2,10,2,48
93,JO,10,6,76,280,21,100,57,16,4,18,10,290,20,8,22,182,13,51,51,20,12,22,12,200
94,JP,29,15,340,6550,150,460,370,370,14,340,4100,6000,31,16,330,10900,340,550,380,640,15,780,5900,8600
95,KE,8000,4000,8400,39080,1200,10000,8300,5300,3900,3200,2400,46000,8700,4900,20000,103000,2300,24000,19000,12000,3800,6600,4100,93000
96,KG,240,99,570,2884,150,610,380,320,140,380,450,2900,260,120,730,5220,180,650,580,650,140,580,470,3900
97,KH,4700,1500,860,14950,610,1900,2300,2200,3100,3100,3700,19000,4900,1800,1200,30400,940,3300,4500,4000,3100,4500,4700,27000
98,KI,54,9,51,238,19,36,17,42,45,25,24,250,45,16,57,301,20,26,28,42,29,40,21,260
